"今日はどれくらい暑い？",temperature
"外はどれくらい暑い？",temperature
"蒸し暑くなるかなあ？",temperature
"うだるような暑さになるかな？",temperature
"今日はどれくらい冷える？",temperature
"外は冷える？",temperature
"耐えられないくらいに冷えるかなあ？",temperature
"冷え込むかな？",temperature
"今日の最高温度は何度くらい？",temperature
"今日のよそう気温は？",temperature
"高い温度は危険であるか？",temperature
"それは危険なほどに冷たいか？",temperature
"暑さははいつ落ちつくかな？",temperature
"暑い？",temperature
"寒い？",temperature
"いまはどのくらい寒い？",temperature
"今日寒い日になるかな？",temperature
"寒さはいつ落ちつくかな？",temperature
"今日の最高気温は何度かな？",temperature
"今日の最低気温は何度かな？",temperature
"今日は暖かい？",temperature
"今日は寒い？",temperature
"いまの温度は摂氏何度？",temperature
"華氏で何度ですか？",temperature
"風が強いか？",conditions
"今日雨が降るか？",conditions
"雨の可能性があるかな？",conditions
"雪が降るかなぁ？",conditions
"今日は日差しが出るのを期待できるかな？",conditions
"曇っている？",conditions
"曇りになるかな？",conditions
"今日どれくらい雨がふるかな？",conditions
"どれくらいの雪をよそうしていますか？",conditions
"外で風が強い？",conditions
"どれくらいの雪を予想していますか？",conditions
"天気予報では今日は雪と言っていますか？",conditions
"太陽が出るかなぁ？",conditions
"雨はいつ降るか？",conditions
"曇りであるか？",conditions
"いまは天気がよいか？",conditions
"雨が降る？",conditions
"たくさん雪が降るか？",conditions
"危険なくらいの風が吹くか？",conditions
"今日の予期される降雪量はどのくらい？",conditions
"乾燥するか？",conditions
"そよ風が吹くか？",conditions
"湿気が多いか？",conditions
"今日の湿度の予想はどれくらい？",conditions
"大吹雪あうかな？",conditions
"時雨になるかな？",conditions
